2019.09.29-12.56.06,wav_name
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010307@TJ0010307B01_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010234@TJ0010234B01_224.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010316@TJ0010316B03_240.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010440@TJ0010440A03_242.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010307@TJ0010307B04_221.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010414@TJ0010414B07_236.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010472@TJ0010472A01_232.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010249@TJ0010249B03_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010275@TJ0010275B03_235.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010275@TJ0010275B05_223.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010236@TJ0010236B05_232.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010079@TJ0010079A04_226.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010257@TJ0010257B05_223.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010258@TJ0010258B03_236.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010232@TJ0010232A04_240.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010221@TJ0010221B07_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010002@TJ0010002A03_226.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010301@TJ0010301B07_239.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010359@TJ0010359A01_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010043@TJ0010043B01_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010301@TJ0010301B04_239.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010260@TJ0010260A02_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010254@TJ0010254A04_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010379@TJ0010379A04_223.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010472@TJ0010472B02_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010258@TJ0010258B04_228.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010236@TJ0010236B06_238.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010209@TJ0010209B02_226.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010095@TJ0010095A01_231.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010428@TJ0010428A03_256.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010236@TJ0010236B01_224.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010233@TJ0010233B06_240.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010265@TJ0010265B03_231.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010239@TJ0010239A02_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010175@TJ0010175B03_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010237@TJ0010237A04_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010249@TJ0010249A02_228.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010301@TJ0010301B02_243.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010369@TJ0010369A04_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010246@TJ0010246B02_236.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010253@TJ0010253A03_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010209@TJ0010209B07_224.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010275@TJ0010275B03_223.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010237@TJ0010237B07_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010477@TJ0010477A02_226.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010095@TJ0010095A04_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010049@TJ0010049B04_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010141@TJ0010141B03_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010209@TJ0010209B01_232.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010356@TJ0010356B03_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010301@TJ0010301B06_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010359@TJ0010359B02_254.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010241@TJ0010241A03_217.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010281@TJ0010281A03_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010385@TJ0010385A04_235.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010043@TJ0010043B05_233.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010231@TJ0010231A04_239.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010428@TJ0010428B02_241.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010260@TJ0010260B07_231.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010348@TJ0010348A01_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010240@TJ0010240B02_231.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010257@TJ0010257B07_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010438@TJ0010438A01_219.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010379@TJ0010379B07_238.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010440@TJ0010440A03_236.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010049@TJ0010049B04_231.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010246@TJ0010246B02_230.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010465@TJ0010465A02_223.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010079@TJ0010079B07_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010254@TJ0010254A04_235.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010459@TJ0010459A01_223.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010167@TJ0010167A04_238.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010459@TJ0010459A01_220.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010379@TJ0010379A01_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010067@TJ0010067B05_239.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010230@TJ0010230A02_238.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010164@TJ0010164B05_246.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010079@TJ0010079B03_221.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010348@TJ0010348A03_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010246@TJ0010246B07_238.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010265@TJ0010265A03_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010209@TJ0010209A03_221.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010230@TJ0010230B05_247.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010444@TJ0010444A02_239.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010315@TJ0010315A01_254.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010254@TJ0010254B05_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010260@TJ0010260B06_233.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010095@TJ0010095B03_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010221@TJ0010221B04_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010348@TJ0010348B02_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010391@TJ0010391A04_243.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010150@TJ0010150B06_240.wav
